Model version,Accuracy,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost,id
mimo-v2-flash,0.0,,Xiaomi Corp,China,2.43e+24,6 * 15e9 active parameters * 27e12 tokens = 2.43e+24,MiMo-V2-Flash (Non-reasoning),,recIO10647zOjjl02
gemma-4-26b-a4b,0.0,2026-04-02,Google DeepMind,United States of America,,,Gemma 4 26B A4B (Reasoning),,recjfVFnTDM7svSTj
gpt-4.1-mini-2025-04-14,0.0,2025-04-14,OpenAI,United States of America,,,GPT-4.1 mini,,rec8hhHFwNWNI8ugy
gemma-3-27b-it,0.0,2025-03-12,Google DeepMind,United States of America,2.268e+24,6ND =  6 * 27B parameters * 14T training tokens = 2.268 × 10^24 FLOP,Gemma 3 27B Instruct,,recMuWO4PqAudohyp
Llama-3.1-8B-Instruct,0.0,2024-07-23,Meta AI,United States of America,1.224e+24,"Huggingface page says 3.1-8B used 1.46M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 8B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 8B = 7.2e23 FLOPs

Hardware:
1.46M * 9.9e14 * 3600 * 0.4 = 2.08e24 FLOPs

Geometric mean: sqrt(7.2e23 * 2.08e24) = 1.224e24

Note that Llama 3-8B also said it used 15T tokens, but only 1.3M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.",Llama 3.1 Instruct 8B,,recgkMeSayiDfcuOs
claude-3-5-haiku-20241022,0.0,2024-10-22,Anthropic,United States of America,,,Claude 3.5 Haiku,,recs8Q9ZFgd0oHh2G
mistral-small-2503,0.0,2025-03-17,Mistral AI,France,,At least 1.152e+24 FLOP (base model Mistral Small 3 training compute),Mistral Small 3.1,,rec1aCUq1EZVvw6oB
DeepSeek-V3,0.0,2024-12-26,DeepSeek,China,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",DeepSeek V3 (Dec '24),,recZuquIpWlS5svDE
mistral-medium-2508,0.0,2025-08-12,Mistral AI,France,,,Mistral Medium 3.1,,rechLLiNO5R81n2Av
DeepSeek-V3-0324,0.0,2025-03-24,DeepSeek,China,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",DeepSeek V3 0324,,recmVYFrbBzF0wFtT
gemini-3.5-flash-lite,0.0,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.5 Flash-Lite,,rec9uJ0Cdk6gX8Q2p
Llama-3.3-70B-Instruct,0.0,2024-12-06,Meta AI,United States of America,6.8649768e+24,"6ND = 6 FLOP / parameter / token * 70*10^9 parameters * 15*10^12 tokens = 6.3e+24 FLOP

7000000 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / second * 0.3 [assumed utilization]= 7.48062e+24 FLOP

sqrt(7.48062e+24*6.3e+24) = 6.8649768e+24",Llama 3.3 Instruct 70B,,reccPSgbUrVYpwQPP
devstral-small-2512,0.0,2025-12-09,Mistral AI,France,,,Devstral Small 2,,recqnbiwXvV1A93F1
mistral-medium-2604,0.0,2026-04-28,Mistral AI,France,,"Commentary from Mistral researcher - https://x.com/mertunsal2020/status/2049551864556143094?s=20 - says ""nowhere close to those flops"" in response to someone suggesting 2.3e25FLOPS was used",Mistral Medium 3.5,,rec145Hb8G6EopI7y
nova-2.0-pro-preview_medium,0.0,2025-12-02,Amazon,United States of America,,,Nova 2.0 Pro Preview (medium),,recQk3naCr3jtTWtY
mistral-large-2512,0.0,2025-12-02,Mistral AI,France,,,Mistral Large 3,,recmTJMuwU1Hk5nk3
grok-4.3_unknown,0.0,2026-04-17,xAI,United States of America,,,Grok 4.3 (Non-reasoning),,recpyQ2IiB91kvrNf
solar-pro-3,0.0,2026-01-27,Upstage,Korea (Republic of),,,Solar Pro 3,,rec5S2focD5wAvXCh
Phi-4-mini-instruct,0.0,2025-02-27,Microsoft,United States of America,9.9561596e+22,"6ND = 6 FLOP / token / parameter * 3800000000 parameters * 5000000000000 tokens = 1.14e+23 FLOP

512 GPUs * 312000000000000 FLOP / sec * 504 hours * 3600 sec / hour * 0.3 [assumed utilization] = 8.6951854e+22 FLOP

geometric mean: 
sqrt(1.14e+23*8.6951854e+22) = 9.9561596e+22",Phi-4 Mini Instruct,,rec5b8acGO32INjIs
qwen3-coder-next,0.0,2026-02-02,,,,,Qwen3 Coder Next,,recHbJSpurIdjDsK6
granite-4.1-30b,0.0,2026-04-29,IBM,United States of America,2.7e+24,6 * 30e9 parameters * 15e12 tokens = 2.7e24 FLOP,Granite 4.1 30B,,recm39ZQ95Zzc6oEr
mistral-small-2506,0.0,2025-06-20,Mistral AI,France,,"Likely to use >1e23 FLOP because Mistral Small 3 used about 1e24 FLOP. However, if this was continued pretraining (or new post-training), then not clear whether it would have used >1e23 FLOP.",Mistral Small 3.2,,rec9rP1j91BTUXIbd
gemma-3-12b-it,0.0,2025-03-12,Google DeepMind,United States of America,8.64e+23,6ND = 6 * 12B parameters * 12T training tokens = 8.64 × 10^23 FLOP,Gemma 3 12B Instruct,,recEipNbGuHMCR5zw
qwen/qwen3-235b-a22b-thinking-2507,0.0,2025-07-25,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,Qwen3 235B A22B 2507 (Reasoning),,recJhEv9yEFCgBq9r
gpt-5-mini-2025-08-07_unknown,0.0,2025-08-07,OpenAI,United States of America,,,GPT-5 mini (high),,recf8XWekVD7VWo95
nova-2.0-pro-preview_none,0.0,2025-12-02,Amazon,United States of America,,,Nova 2.0 Pro Preview (Non-reasoning),,rec3nGWaL1V4GC7Ox
nova-2.0-pro-preview_low,0.0,2025-12-02,Amazon,United States of America,,,Nova 2.0 Pro Preview (low),,recIrIlZAJIFqA05F
gpt-5.5-instant,0.0,2026-05-05,OpenAI,United States of America,,,GPT-5.5 Instant (June 2026),,recTZz0IysSQlVQBG
cogito-671b-v2.1,0.0,2025-11-19,Deep Cogito,,,,Cogito v2.1 (Reasoning),,recUm9YUU4tv4QYl4
openai/gpt-oss-120b_low,0.0,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",gpt-oss-120b (low),,recqRZmPB2nweO1S7
qwen3.8-27b_medium,0.0,2026-08-14,Alibaba,China,,,Qwen3.8 27B (medium),,rec0L5JX4l98UW6uf
qwen3.8-27b_low,0.0,2026-08-14,Alibaba,China,,,Qwen3.8 27B (low),,rec0LIT4IY1rcfCu4
grok-4.3_none,0.0,2026-04-17,xAI,United States of America,,,Grok 4.3 (Non-reasoning),,recReTZrRXi8ndlYR
qwen3-8b,0.0,2025-04-28,Alibaba,China,1.7712e+24,6 FLOP / parameter / token * 36 * 10^12 tokens * 8.2  * 10^9 parameters = 1.7712e+24 FLOP,Qwen3 8B (Reasoning),,recb788jTlPfrMXig
qwen3-14b,0.0,2025-04-29,Alibaba,China,3.1968e+24,6 FLOP / parameter / token * 36 * 10^12 tokens * 14.8  * 10^9 parameters = 3.1968e+24 FLOP,Qwen3 14B (Reasoning),,reccUsj3yqYhvgvUC
qwen3.6-35b-a3b_none,0.0,2026-04-14,Alibaba,China,,,Qwen3.6 35B A3B (Non-reasoning),,rectaMSlhWPQdKvlu
