Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost per task,Notes,id
claude-sonnet-4-5-20250929,0.0375,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5,0.1295,,recRp5W7nPR9PibPQ
gpt-5.4-nano-2026-03-17_high,0.0361,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (High),0.13,,recUj2nMwaabqY4xy
gemini-3-flash-preview,0.0333,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (Minimal),,,rec4D7ffvN5bl5c10
o3-mini-2025-01-31_high,0.0299,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (High),0.5472,,recIVyGy3qnEsUXSz
o3-2025-04-16_medium,0.0298,2025-04-16,OpenAI,United States of America,,,o3 (Medium),0.4787,,reckVnQ5Dgul9PJ0n
gemini-2.5-pro_8K,0.0292,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 8K),0.4439,,recpBihogJ0mcYOfS
claude-haiku-4-5-20251001_16K,0.0278,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 16K),0.1392,,recm2RWPI31nRlRMe
gemini-3.6-flash_minimal,0.02638888888888889,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash (Minimal),,,reczuYhRHn1Q64mB2
gpt-5-nano-2025-08-07_high,0.026100000000000005,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (High),0.0295,,recupFdrzUCkiIOJx
gemini-2.5-flash-preview-05-20_23K,0.025400000000000002,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 24K),0.3191,,recX5WZPpdxH99Q0W
o4-mini-2025-04-16_medium,0.0236,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (Medium),0.2311,,recL7H56qJnD1JaLX
gemini-2.5-flash-preview-05-20_1K,0.0216,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 1K),0.0302,,recx8bMgTPWFjSce5
gemini-2.5-flash-preview-05-20_8K,0.0212,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 8K),0.1994,,recc2zuUdVClpEfo3
claude-sonnet-4-20250514_8K,0.0212,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4 (Thinking 8K),0.2654,,rec9yHZPujDE8MdDK
deepseek-v4-flash-0731_none,0.020833333333333332,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",DeepSeek V4 Flash 0731 (None),,,recNIbGpTiROaJXNN
o3-mini-2025-01-31_medium,0.020800000000000003,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (Medium),0.2843,,rec3DBzjmVooH06Du
o3-pro-2025-06-10_low,0.020500000000000004,2025-06-10,OpenAI,United States of America,,,o3-Pro (Low),2.2293,,recOPdwHvGY12QF3a
o3-2025-04-16_low,0.0199,2025-04-16,OpenAI,United States of America,,,o3 (Low),0.2343,,recQRWOdhT4RaKHDF
gemini-2.5-flash-preview-05-20_16K,0.0198,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 16K),0.3173,,recPzm2d30ETKcuf6
o3-pro-2025-06-10_medium,0.0194,2025-06-10,OpenAI,United States of America,,,o3-Pro (Medium),4.7441,,recPRCqGgqp2fVU13
gpt-5-2025-08-07_low,0.0194,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Low),0.1896,,rec66wbMAhLTeT1Mv
gpt-5-2025-08-07_low,0.0194,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Low),0.1896,,recIgLhVAZcjtBEEr
gpt-5.1-2025-11-13_low,0.0194,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, Low)",0.129,,rec5P1fa26x1HY993
gpt-5.4-nano-2026-03-17_medium,0.0194,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (Medium),0.06,,recL6ss3SiXe5h3I1
gemini-2.5-flash-preview-05-20,0.0169,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview),0.057,,recBr7W43spzTlYWg
o4-mini-2025-04-16_low,0.0167,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (Low),0.05,,recooai9u1xla5nXC
gpt-5-mini-2025-08-07_minimal,0.0167,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (Minimal),0.0094,,recIEWFxMvibFys75
claude-haiku-4-5-20251001_8K,0.0167,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 8K),0.0909,,rec3Bb2paOld3N4s0
gpt-5.4-nano-2026-03-17_low,0.015300000000000001,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (Low),0.01,,rec62ZrX5hl15IxAl
gemini-3.5-flash-lite_low,0.015277777777777777,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.5 Flash-Lite (Low),,,reccKj7kqdUYGxFcd
gemini-2.0-flash-001,0.013000000000000001,2025-02-05,"Google DeepMind,Google",United States of America,,"""We used Trillium TPUs to train the new Gemini 2.0, Google’s most capable AI model yet"" according to https://cloud.google.com/blog/products/compute/trillium-tpu-is-ga",Gemini 2.0 Flash,0.004,,recmtA3PiKSki7Pff
DeepSeek-R1,0.013000000000000001,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",Deepseek R1,0.08,,recSe6e45cOKfp8SF
claude-sonnet-4-20250514,0.012700000000000001,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4,0.1272,,rec5UCwOgvD2BGMyd
codex-mini-2025-05-16,0.012700000000000001,2025-05-16,,,,,Codex Mini (Latest),0.23,,rec5tJjCzoBNRSY9a
claude-opus-4-20250514,0.012700000000000001,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4,0.6388,,recIqYwza9VtPYCLm
Qwen3-235B-A22B-Instruct-2507,0.0125,2025-07-25,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,Qwen3-235b-a22b Instruct (25/07),0.0044,,recwktfYzggCeGG9v
claude-haiku-4-5-20251001,0.0125,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5,0.0426,,recSdlPGq90xI0GOZ
gemini-3-flash-preview,0.0125,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (Low),,,recBFyJPjiMxVqayO
claude-haiku-4-5-20251001_1K,0.0125,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 1K),0.0471,,recjklNjhC70JPIUW
DeepSeek-R1-0528,0.0112,2025-05-28,DeepSeek,China,4.020010000000001e+24,"Estimates by Ege Erdil in Gradient Updates:
https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1
""A dataset size of 14.8 trillion tokens is reasonable and in line with other models of this scale. Assuming that’s valid, the pretraining of this model would have required 6 * (37 billion) * (14.8 trillion) = 3e24 FLOP. If we assume DeepSeek’s training cluster consists of H800s with the PCIe form factor, then each should be capable of 1.5e15 FP8 per second, and the implied model FLOP utilization (MFU) of DeepSeek v3’s 55 day training run ends up being around 23%.""

6 FLOP/token/param * 14.8T tokens * 37B active params = 3.29e24 FLOP (pretraining)
1.2e23 FLOP (post-training)
6.1e23 FLOP (fine-tuning)

Total compute: 3.29e24 + 1.2e23 + 6.1e23 = 4.02e24",Deepseek R1 (05/28),0.0527,,rectThfd9Zm2iI4QV
gpt-5.4-mini-2026-03-17_low,0.0111,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (Low),0.06,,recw8aOAONIT3ypKX
claude-3-7-sonnet-20250219_8K,0.009,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7 (8K),0.36,,recKX0Qa3ulDrS9Bz
gpt-5-nano-2025-08-07_medium,0.0088,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (Medium),0.0137,,recT6rpJqwTwbDf70
claude-sonnet-4-20250514_1K,0.0085,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4 (Thinking 1K),0.1425,,recbHOUFE4mIkwxSV
gemini-3.5-flash-lite_minimal,0.008333333333333333,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.5 Flash-Lite (Minimal),,,rec7LQvTu0JSmrK2q
deepseek-v4-pro-0813_none,0.008333333333333333,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,DeepSeek V4 Pro 0813 (None),,,recvl7EONLls7UXBK
o1-mini-2024-09-12_unknown,0.0083,2024-09-12,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o1-mini,0.1907,,recrnQ8qOsjBQtr5f
gpt-5.2-2025-12-11_unknown,0.0083,2025-12-11,OpenAI,United States of America,,,GPT-5.2,,,recPo5Agh7dkNgnn7
gpt-5-mini-2025-08-07_low,0.0083,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (Low),0.0189,,recxiCwTDG3hY2wmo
gpt-4.5-preview-2025-02-27,0.008,2025-02-27,OpenAI,United States of America,3.8e+26,"Analysis of GPT-4.5's training cluster yields a median estimate of 187M H100-hours of training. The utilization assumptions we used for the Grok 3 estimate (maybe worth revisiting) were 20 to 40% under the H100 FP8 spec of 2000 teraflop/s. This leads to an estimate of 2.7e26 to 5.4e26 FLOP, or a geomean of 3.8e26

Alternatively, using a plausible range of 20 to 50% utilization, given the possibility of FP8 training, yields a median estimate of ~2e25 FLOP. See notebook below for details.

https://colab.research.google.com/drive/1QBmVPm64Ti0xucN0EsZTgSz_I7Mj9hAZ#scrollTo=NYH1ABJuLJlw 

This is consistent with OpenAI's statement that GPT-4.5 was a “new order of magnitude in compute” compared to previous models (e.g. GPT-4, which was ~2e25), suggesting around 2e26 FLOP. But they could have meant this somewhat loosely. 

In the ""Pretraining GPT-4.5"" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 ",GPT-4.5,2.1,,recl8hoiV46IoCWb2
gemini-1.5-pro-002,0.008,2024-09-24,Google DeepMind,United States of America,,Training compute imputed to be 1.58e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Gemini 1.5 Pro,0.04,,recqMImpcYCvdizAV
claude-3-7-sonnet-20250219_16K,0.007000000000000001,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7 (16K),0.51,,recvxEFt4mLttTnjm
gpt-4.1-2025-04-14,0.0042,2025-04-14,OpenAI,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,GPT-4.1,0.0691,,recMVaawKzYg6YFHo
grok-3-mini_low,0.0042,2025-06-24,xAI,United States of America,,,Grok 3 Mini (Low),0.0131,,recZYdwW6KKeyEeof
gpt-5.1-2025-11-13_none,0.0042,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, None)",0.0581,,recW0MLjEwpTkwj5d
claude-3-7-sonnet-20250219_1K,0.004,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7 (1K),0.14,,rece595ML3KUNIT1d
claude-3-7-sonnet-20250219,0.0,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7,0.12,,recJXJI55BlVB71Qc
gpt-4o-mini-2024-07-18,0.0,2024-07-18,OpenAI,United States of America,,"Training compute estimated to be 7.36001e+24 from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing

90% CI [3.23e+24, 2.05e+25]",GPT-4o-mini,0.01,,recc7I0Ztw0vTRwWh
gpt-4.1-nano-2025-04-14,0.0,2025-04-14,OpenAI,United States of America,,,GPT-4.1-Nano,0.0036,,recS5hpSeASTkWd5s
Llama-4-Scout-17B-16E-Instruct,0.0,2025-04-05,Meta AI,United States of America,4.08e+24,"40T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md  

Estimating training compute from parameters and tokens:
6 FLOP per token per parameter * 17B active parameters * 40T tokens = 4.08e24 FLOP
(Implying mean throughput was 227 TFLOPS/GPU, or 11.5% MFU in FP8)


The model card also states that Llama 4 Scout used 5.0M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 5 million hours = 7.02e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Scout than for Behemoth.)",Llama 4 Scout,0.0062,,recxnrmYCOKiqBoXB
Llama-4-Maverick-17B-128E-Instruct,0.0,2025-04-05,Meta AI,United States of America,2.244000000001e+24,"22T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md   

Maverick was trained using co-distillation from Llama 4 Behemoth. It isn't 100% clear that all 22T tokens used distillation, but we assume this for the time being.

Estimating training compute from parameters and tokens:
Compute = 6 FLOP per token per parameter * 17B active parameters * 22T tokens = 2.244e24 FLOP
(Implying mean throughput was 262 TFLOPS/GPU, or 13.2% MFU in FP8)


The model card also states that Llama 4 Maverick used 2.38M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 2.38 million hours = 3.342e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Maverick than for Behemoth.)",Llama 4 Maverick,0.0121,,reczNMgFqv1ZlJEFV
o3-mini-2025-01-31_low,0.0,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (Low),0.0623,,rec0Bj1MbQ11bEqWS
gpt-4.1-mini-2025-04-14,0.0,2025-04-14,OpenAI,United States of America,,,GPT-4.1-Mini,0.0139,,recAgj8f9SDr9AZyr
grok-3,0.0,2025-04-09,xAI,United States of America,3.5e+26,"Estimate based on a cluster of 80,000 H100s per the xai website and an estimated training time of approximately three months.

Full estimate here: https://docs.google.com/document/d/1MIUFviULJ3YI_XjyzL8cwG0cBRANKNxVEB4DrUcFiNs/edit?usp=sharing",Grok 3,0.1421,,recmCmq0lWBA7qzvR
claude-opus-4-20250514_1K,0.0,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 1K),0.7503,,recrcQGgMO3pWfmku
magistral-small-2506,0.0,2025-06-10,Mistral AI,France,,,Magistral Small,0.0488,,recOuF80RXt6b2WX8
magistral-medium-2506,0.0,2025-06-10,Mistral AI,France,,,Magistral Medium,,,recfC45QI8NicBzwM
gemini-2.5-pro-preview-06-05_1K,0.0,2025-06-05,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 1K),0.0885,,reczqe8FyQd5h61ZE
gpt-5-2025-08-07_minimal,0.0,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Minimal),0.0562,,recLswC6YRLQnH9FQ
gpt-5-nano-2025-08-07_low,0.0,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (Low),0.0033,,recZf3o0zbmGDIYvX
gpt-4o-2024-11-20,0.0,2024-11-20,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4o,0.08,,recXQ8nDyFM2FrQuM
gpt-5-nano-2025-08-07_minimal,0.0,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (Minimal),0.0025,,recvfjus4uMwZPSYy
magistral-medium-2506,0.0,2025-06-10,Mistral AI,France,,,Magistral Medium (Thinking),,,recIb0Zl4pxpR9ELk
inkling-small_none,0.0,2026-07-15,Thinking Machines,United States of America,,,Inkling Small (None),,,recovw8MqEuXF8DWr
