Model version,Average,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Notes,Source,Source link,id
Yi-34B-Chat,0.514,2023-11-22,01.AI,China,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",Yi-Chat 34B,0,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recL10qlbGM5RuDG7
Llama-2-13b-chat,0.582,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,LLaMA2-Chat 13B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recFvpL4cwIM1jkzD
Llama-2-70b-chat,0.585,2023-07-18,Meta AI,United States of America,8.1e+23,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.",LLaMA2-Chat 70B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recDy6LbjY6SvJbKC
Baichuan2-13B-Chat,0.472,2023-09-06,,,,,Baichuan2-Chat 13B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recTQ6AnVQI3HzzDR
Qwen-14B-Chat,0.55,2023-09-24,Alibaba,China,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",Qwen-Chat 14B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recwg8hk8QR2EAEmW
internlm-chat-20b,0.367,2023-09-17,,,,,InternLM-Chat 20B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recdeDl0iYyeqCdZf
,0.343,,,,,,AquilaChat2 34B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,reclWJEx2WkhPsO5Q
Yi-6B-Chat,0.472,2023-11-22,01.AI,China,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,Yi-Chat 6B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,rec7U0UkrJXKMFZGe
Yi-34B-Chat,0.717,2023-11-22,01.AI,China,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",Yi-Chat 34B,3,,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,recRvnph65VrLPHGb
INTELLECT-1-Instruct,0.3485,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI",United States of America,6.000001e+22,10B parameters trained on 1T tokens: 6 * 10B * 1T = 6e22,INTELLECT-1-Instruct,,,INTELLECT-1 Technical Report,https://arxiv.org/abs/2412.01152,rec4Pqqt0Y9MQ1HfR
gemini-1.5-pro-001-feb24,0.84,2024-02-15,Google DeepMind,United States of America,,Training compute imputed to be 1.58e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Gemini 1.5 Pro (Feb 2024),3,,Gemini 1.5 report,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,recIJaCyW2MtzGFlO
gemini-1.5-pro-001,0.892,2024-05-14,Google DeepMind,United States of America,,Training compute imputed to be 1.58e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Gemini 1.5 Pro (May 2024),3,,Gemini 1.5 report,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,recftOkRLxL5JX8iB
