Model version,Score,Provider,AA model slug,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Source,Notes
deepseek-v4-flash-0731_max,0.49884259259259306,DeepSeek,deepseek-v4-flash,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training","DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",https://artificialanalysis.ai/evaluations/scicode,
kimi-k2.5,0.48958333333333304,Kimi,kimi-k2-5,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5 (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
inkling-small,0.487268518518519,Thinking Machines,inkling-small,2026-07-15,Thinking Machines,United States of America,,,Inkling Small,https://artificialanalysis.ai/evaluations/scicode,
claude-sonnet-5_high,0.486111111111111,Anthropic,claude-sonnet-5-non-reasoning,2026-06-30,Anthropic,United States of America,,,"Claude Sonnet 5 (Non-reasoning, High Effort)",https://artificialanalysis.ai/evaluations/scicode,
gpt-5.6-sol_none,0.47106481481481505,OpenAI,gpt-5-6-sol-non-reasoning,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
deepseek-v4-pro_high,0.46412037037037,DeepSeek,deepseek-v4-pro-high,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,"DeepSeek V4 Pro (Reasoning, High Effort)",https://artificialanalysis.ai/evaluations/scicode,
Inkling_xhigh,0.460648148148148,Thinking Machines,inkling,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,Inkling (xhigh),https://artificialanalysis.ai/evaluations/scicode,
glm-4.7,0.451388888888889,Z AI,glm-4-7,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",GLM-4.7 (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
deepseek-v4-flash_max,0.44907407407407407,DeepSeek,deepseek-v4-flash-0420,2026-04-24,DeepSeek,China,2.496e+24,6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training,"DeepSeek V4 Flash (Reasoning, Max Effort)",https://artificialanalysis.ai/evaluations/scicode,
claude-sonnet-4-5-20250929_unknown,0.446759259259259,Anthropic,claude-4-5-sonnet-thinking,2025-09-29,Anthropic,United States of America,,,Claude 4.5 Sonnet (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
gpt-5.6-terra_none,0.4456018518518521,OpenAI,gpt-5-6-terra-non-reasoning,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
deepseek-v4-flash_high,0.420138888888889,DeepSeek,deepseek-v4-flash-0420-high,2026-04-24,DeepSeek,China,2.496e+24,6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training,"DeepSeek V4 Flash (Reasoning, High Effort)",https://artificialanalysis.ai/evaluations/scicode,
DeepSeek-V3.1-Terminus,0.40625,DeepSeek,deepseek-v3-1-terminus-reasoning,2025-09-22,DeepSeek,China,3.594058e+24,"This was based on V3 which was trained on 14.8T tokens for a total of 14.8T + 840B = 15.64T pretraining tokens. Adding the FLOPs from continued pretraining onto our estimate for V3, which is 3.4e24 FLOPs, we get 3.4e24 + 1.9e23 = 3.59e24",DeepSeek V3.1 Terminus (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
gpt-5.6-luna_none,0.399305555555556,OpenAI,gpt-5-6-luna-non-reasoning,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
o3-mini-2025-01-31_high,0.397856419092825,OpenAI,o3-mini-high,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (high),https://artificialanalysis.ai/evaluations/scicode,
DeepSeek-V3.2-Exp_thinking,0.388888888888889,DeepSeek,deepseek-v3-2-reasoning,2025-09-29,DeepSeek,China,4.18e+24,"3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",DeepSeek V3.2 (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
nova-2.0-pro-preview_low,0.38657407407407407,Amazon,nova-2-0-pro-reasoning-low,2025-12-02,Amazon,United States of America,,,Nova 2.0 Pro Preview (low),https://artificialanalysis.ai/evaluations/scicode,
glm-4.6,0.384259259259259,Z AI,glm-4-6-reasoning,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",China,4.42e+24,6 FLOP/parameter/token * 32000000000 active parameters [very likely assumption - everything else is reported to be same as at GLM 4.5] * 23000000000000 tokens = 4.42e24 FLOP,GLM-4.6 (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
glm-5.2_none,0.361111111111111,Z AI,glm-5-2-non-reasoning,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2 (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
openai/gpt-oss-120b_low,0.35995370370370405,OpenAI,gpt-oss-120b-low,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",gpt-oss-120b (low),https://artificialanalysis.ai/evaluations/scicode,
claude-fable-5-1_max,0.62037037037037,Anthropic,claude-fable-5-1,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",https://artificialanalysis.ai/evaluations/scicode,
claude-fable-5-1_xhigh,0.600694444444444,Anthropic,claude-fable-5-1-xhigh,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Xhigh Effort, Default Fallback)",https://artificialanalysis.ai/evaluations/scicode,
gemini-3.7-flash_medium,0.578703703703704,Google,gemini-3-7-flash-medium,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (medium),https://artificialanalysis.ai/evaluations/scicode,
claude-fable-5-1_high,0.576388888888889,Anthropic,claude-fable-5-1-high,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, High Effort, Default Fallback)",https://artificialanalysis.ai/evaluations/scicode,
gemini-3.7-flash_high,0.568287037037037,Google,gemini-3-7-flash,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (high),https://artificialanalysis.ai/evaluations/scicode,
glm-5.3_max,0.564814814814815,Z AI,glm-5-3,2026-08-14,Z.ai (Zhipu AI),China,,,GLM-5.3 (max),https://artificialanalysis.ai/evaluations/scicode,
muse-spark-1.2_xhigh,0.563657407407407,Meta,muse-spark-1-2,2026-08-05,Meta AI,United States of America,,,Muse Spark 1.2 (xhigh),https://artificialanalysis.ai/evaluations/scicode,
claude-fable-5-1_low,0.556712962962963,Anthropic,claude-fable-5-1-low,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Low Effort, Default Fallback)",https://artificialanalysis.ai/evaluations/scicode,
claude-fable-5-1_medium,0.553240740740741,Anthropic,claude-fable-5-1-medium,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Medium Effort, Default Fallback)",https://artificialanalysis.ai/evaluations/scicode,
grok-4.6_medium,0.546296296296296,SpaceXAI,grok-4-6-medium,2026-08-12,xAI,United States of America,,,Grok 4.6 (medium),https://artificialanalysis.ai/evaluations/scicode,
gemini-3.8-flash_medium,0.543981481481482,Google,gemini-3-8-flash-medium,2026-09-02,Google DeepMind,United States of America,,,Gemini 3.8 Flash (medium),https://artificialanalysis.ai/evaluations/scicode,
gemini-3.8-flash_low,0.542824074074074,Google,gemini-3-8-flash-low,2026-09-02,Google DeepMind,United States of America,,,Gemini 3.8 Flash (low),https://artificialanalysis.ai/evaluations/scicode,
grok-4.6_high,0.53587962962963,SpaceXAI,grok-4-6,2026-08-12,xAI,United States of America,,,Grok 4.6 (high),https://artificialanalysis.ai/evaluations/scicode,
gemini-3.8-flash_high,0.53587962962963,Google,gemini-3-8-flash,2026-09-02,Google DeepMind,United States of America,,,Gemini 3.8 Flash (high),https://artificialanalysis.ai/evaluations/scicode,
gemini-3.7-flash_low,0.53587962962963,Google,gemini-3-7-flash-low,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (low),https://artificialanalysis.ai/evaluations/scicode,
qwen3.8-max_unknown,0.528935185185185,Alibaba,qwen3-8-max,2026-08-02,Alibaba,China,,,Qwen3.8 Max,https://artificialanalysis.ai/evaluations/scicode,
grok-4.6_xhigh,0.516203703703704,SpaceXAI,grok-4-6-xhigh,2026-08-12,xAI,United States of America,,,Grok 4.6 (xhigh),https://artificialanalysis.ai/evaluations/scicode,
deepseek-v4-pro_max,0.5,DeepSeek,deepseek-v4-pro-0424,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,"DeepSeek V4 Pro (Reasoning, Max Effort)",https://artificialanalysis.ai/evaluations/scicode,
deepseek-v4-pro-0813_max,0.491898148148148,DeepSeek,deepseek-v4-pro,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",https://artificialanalysis.ai/evaluations/scicode,
grok-4.6_low,0.483796296296296,SpaceXAI,grok-4-6-low,2026-08-12,xAI,United States of America,,,Grok 4.6 (low),https://artificialanalysis.ai/evaluations/scicode,
deepseek-v4-pro_high,0.46412037037037,DeepSeek,deepseek-v4-pro-0424-high,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,"DeepSeek V4 Pro (Reasoning, High Effort)",https://artificialanalysis.ai/evaluations/scicode,
glm-5.3-flash_unknown,0.460648148148148,Z AI,glm-5-3-flash,2026-08-20,Z.ai (Zhipu AI),China,,,GLM-5.3-Flash,https://artificialanalysis.ai/evaluations/scicode,
qwen3.8-27b_xhigh,0.446759259259259,Alibaba,qwen3-8-27b,2026-08-14,Alibaba,China,,,Qwen3.8 27B (xhigh),https://artificialanalysis.ai/evaluations/scicode,
qwen3.8-27b_low,0.398148148148148,Alibaba,qwen3-8-27b-low,2026-08-14,Alibaba,China,,,Qwen3.8 27B (low),https://artificialanalysis.ai/evaluations/scicode,
qwen3.8-27b_medium,0.380787037037037,Alibaba,qwen3-8-27b-medium,2026-08-14,Alibaba,China,,,Qwen3.8 27B (medium),https://artificialanalysis.ai/evaluations/scicode,
qwen3.6-27b_none,0.372685185185185,Alibaba,qwen3-6-27b-non-reasoning,2026-04-22,Alibaba,China,,,Qwen3.6 27B (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3.5-122b-a10b_none,0.356481481481482,Alibaba,qwen3-5-122b-a10b-non-reasoning,2026-02-24,Alibaba,China,,,Qwen3.5 122B A10B (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3.8-27b_none,0.356481481481481,Alibaba,qwen3-8-27b-non-reasoning,2026-08-14,Alibaba,China,,,Qwen3.8 27B (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3-30b-a3b-thinking-2507,0.333333333333333,Alibaba,qwen3-30b-a3b-2507-reasoning,2025-07-30,Alibaba,China,6.48e+23,6 FLOP / parameter / token * 3*10^9 active parameters * 36000000000000 tokens = 6.48e+23 FLOP,Qwen3 30B A3B 2507 (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3-14b,0.315972222222222,Alibaba,qwen3-14b-instruct-reasoning,2025-04-29,Alibaba,China,3.1968e+24,6 FLOP / parameter / token * 36 * 10^12 tokens * 14.8  * 10^9 parameters = 3.1968e+24 FLOP,Qwen3 14B (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3.5-35b-a3b_none,0.292824074074074,Alibaba,qwen3-5-35b-a3b-non-reasoning,2026-02-24,Alibaba,China,,,Qwen3.5 35B A3B (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3-8b,0.225694444444444,Alibaba,qwen3-8b-instruct-reasoning,2025-04-28,Alibaba,China,1.7712e+24,6 FLOP / parameter / token * 36 * 10^12 tokens * 8.2  * 10^9 parameters = 1.7712e+24 FLOP,Qwen3 8B (Reasoning),https://artificialanalysis.ai/evaluations/scicode,
qwen3.6-35b-a3b_none,0.0127314814814815,Alibaba,qwen3-6-35b-a3b-non-reasoning,2026-04-14,Alibaba,China,,,Qwen3.6 35B A3B (Non-reasoning),https://artificialanalysis.ai/evaluations/scicode,
