Model version,Agent,Accuracy mean,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Accuracy SE,Agent Org,Model Org,Run date,Notes,Source,Source Link,Created,Name,id
gpt-5.1-codex-mini, Codex CLI      ,0.431,2025-11-12,OpenAI,United States of America,,,0.03, OpenAI    , OpenAI      ,2025-11-17,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recJBKBBdOIEodbRT
MiniMax-M2.7,Harness Agent,0.429,2026-03-18,MiniMax,China,,,0.028999999999999998,lazyFrogLOL,MiniMax,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:52.000Z,MiniMax M2.7 Highspeed,recP18tiQzw7yeuDF
claude-sonnet-4-5-20250929, Terminus 2     ,0.428,2025-09-29,Anthropic,United States of America,,,0.028, Stanford  , Anthropic   ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recZH7p8iYiyYB0Ch
claude-sonnet-4-5-20250929_unknown,Terminus 2,0.428,2025-09-29,Anthropic,United States of America,,,0.027999999999999997,Terminal Bench,Anthropic,2025-10-31,,,,2026-03-06T20:47:46.000Z,Claude Sonnet 4.5,recKeFvLcPnLgoUmH
claude-sonnet-4-5-20250929_unknown,MAYA,0.42700000000000005,2025-09-29,Anthropic,United States of America,,,,ADYA,Anthropic,2026-01-04,,,,2026-03-06T20:47:46.000Z,Claude 4.5 Sonnet,recdkO8Qjk07Jy6x3
MiniMax-M2.5,cchuter,0.42700000000000005,2026-02-12,MiniMax,China,,,0.027999999999999997,teamblobfish.com,minimax,2026-03-30,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:41.000Z,minimax-m2.5,recVaqQHEH5MbcNtU
claude-sonnet-4-5-20250929_unknown,MAYA-V2,0.42700000000000005,2025-09-29,Anthropic,United States of America,,,,ADYA,Anthropic,2026-01-04,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:42.000Z,Claude 4.5 Sonnet,rece9vUo1ww7GL6EO
claude-sonnet-4-5-20250929_unknown,OpenHands,0.42600000000000005,2025-09-29,Anthropic,United States of America,,,0.027999999999999997,OpenHands,Anthropic,2025-11-02,,,,2026-03-06T20:47:46.000Z,Claude Sonnet 4.5,recJeZzLs4VeGn2nV
claude-sonnet-4-5-20250929, OpenHands      ,0.426,2025-09-29,Anthropic,United States of America,,,0.028, OpenHands , Anthropic   ,2025-11-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,reclDcpO9SUv4Tpau
claude-sonnet-4-5-20250929, Mini-SWE-Agent ,0.425,2025-09-29,Anthropic,United States of America,,,0.028, Princeton , Anthropic   ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recfCRv3Mp3k41IHO
claude-sonnet-4-5-20250929_unknown,Mini-SWE-Agent,0.425,2025-09-29,Anthropic,United States of America,,,0.027999999999999997,Princeton,Anthropic,2025-11-03,,,,2026-03-06T20:47:47.000Z,Claude Sonnet 4.5,recmWHKFsA4OK8Ti1
MiniMax-M2.5,Terminus 2,0.42200000000000004,2026-02-12,MiniMax,China,,,0.026000000000000002,Terminal Bench,Minimax,2026-02-23,,,,2026-03-06T20:47:47.000Z,Minimax m2.5,rec2efDw2CQRGldo9
gpt-5-codex, Mini-SWE-Agent ,0.413,2025-09-15,OpenAI,United States of America,,"OpenAI says this is a version of GPT-5. The meaning of this is not completely clear, but likely means a shared base model and a similar/overlapping post-training history. But it is not clear whether 5-codex was produced via additional fine-tuning of a published GPT-5 checkpoint.",0.028, Princeton , OpenAI      ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec9sfNDeDk0cbJQL
gpt-5-codex,Mini-SWE-Agent,0.413,2025-09-15,OpenAI,United States of America,,"OpenAI says this is a version of GPT-5. The meaning of this is not completely clear, but likely means a shared base model and a similar/overlapping post-training history. But it is not clear whether 5-codex was produced via additional fine-tuning of a published GPT-5 checkpoint.",0.027999999999999997,Princeton,OpenAI,2025-11-03,,,,2026-03-06T20:47:47.000Z,GPT-5-Codex,recRmzMIVDOO2eEBY
claude-sonnet-4-5-20250929, Claude Code    ,0.401,2025-09-29,Anthropic,United States of America,,,0.029, Anthropic , Anthropic   ,2025-11-04,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recDripAbQH8CuooL
claude-sonnet-4-5-20250929_unknown,Claude Code,0.401,2025-09-29,Anthropic,United States of America,,,0.028999999999999998,Anthropic,Anthropic,2025-11-04,,,,2026-03-06T20:47:48.000Z,Claude Sonnet 4.5,recBr0bdFWEQJlw24
deepseek/deepseek-v3.2,Terminus 2,0.396,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",0.027999999999999997,Terminal Bench,DeepSeek,2026-02-10,,,,2026-03-06T20:47:48.000Z,DeepSeek-V3.2,recxR7bQuL8biEr1p
claude-opus-4-1-20250805, Terminus 2     ,0.38,2025-08-05,Anthropic,United States of America,,,0.026, Stanford  , Anthropic   ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recZqrNbY83D2rMna
claude-opus-4-1-20250805_unknown,Terminus 2,0.38,2025-08-05,Anthropic,United States of America,,,0.026000000000000002,Terminal Bench,Anthropic,2025-10-31,,,,2026-03-06T20:47:48.000Z,Claude Opus 4.1,receznXnwcy2WCuyz
gpt-5.1-codex, Terminus 2     ,0.369,2025-11-12,OpenAI,United States of America,,,0.032, Stanford  , OpenAI      ,2025-11-17,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec65Jj1nz0W6LZFC
claude-opus-4-1-20250805, OpenHands      ,0.369,2025-08-05,Anthropic,United States of America,,,0.027, OpenHands , Anthropic   ,2025-11-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recO3hSKFRHSXO0v0
claude-opus-4-1-20250805_unknown,OpenHands,0.369,2025-08-05,Anthropic,United States of America,,,0.027000000000000003,OpenHands,Anthropic,2025-11-02,,,,2026-03-06T20:47:49.000Z,Claude Opus 4.1,rechRJ6Uae8I0mHXa
gpt-5.1-codex,Terminus 2,0.369,2025-11-12,OpenAI,United States of America,,,0.032,Terminal Bench,OpenAI,2025-11-17,,,,2026-03-06T20:47:49.000Z,GPT-5.1-Codex,reclqVW78N7ZdBWbk
MiniMax-M2.1,Crux,0.36600000000000005,2025-12-23,MiniMax,China,,,0.028999999999999998,Roam,MiniMax,2025-12-22,,,,2026-03-06T20:47:49.000Z,MiniMax M2.1,recoAqoyZqRsoB6Kc
kimi-k2-thinking,Terminus 2,0.35700000000000004,2025-11-06,Moonshot,China,4.2e+24,"Assuming the additional post-training contributed between 1% and 100% of Kimi K2's training compute (which we confidently estimate at 2.976e+24), we get a range of 3.0e24 to 6.0e24, and a geometric mean of 4.2e24.",0.027999999999999997,Terminal Bench,Moonshot AI,2025-11-11,,,,2026-03-06T20:47:50.000Z,Kimi K2 Thinking,recM5WAExwpby8B8E
kimi-k2-thinking, Terminus 2     ,0.357,2025-11-06,Moonshot,China,4.2e+24,"Assuming the additional post-training contributed between 1% and 100% of Kimi K2's training compute (which we confidently estimate at 2.976e+24), we get a range of 3.0e24 to 6.0e24, and a geometric mean of 4.2e24.",0.028, Stanford  , Moonshot AI ,2025-11-11,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec2gS7bw3o4JruIn
claude-haiku-4-5-20251001_unknown,Goose,0.355,2025-10-15,Anthropic,United States of America,,,0.028999999999999998,Block,Anthropic,2025-12-11,,,,2026-03-06T20:47:50.000Z,Claude Haiku 4.5,recYFtwkZx7UpcnlV
gpt-5-2025-08-07_unknown,Terminus 2,0.35200000000000004,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.031000000000000003,Terminal Bench,OpenAI,2025-10-31,,,,2026-03-06T20:47:50.000Z,GPT-5,rec1Juuim3oNht6yT
gpt-5-2025-08-07_medium, Terminus 2     ,0.352,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.031, Stanford  , OpenAI      ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recbqMxsZI87hk2Zv
claude-opus-4-1-20250805_unknown,Mini-SWE-Agent,0.35100000000000003,2025-08-05,Anthropic,United States of America,,,0.025,Princeton,Anthropic,2025-11-03,,,,2026-03-06T20:47:51.000Z,Claude Opus 4.1,recCL4Qu6Dd73ew1S
claude-opus-4-1-20250805, Mini-SWE-Agent ,0.351,2025-08-05,Anthropic,United States of America,,,0.025, Princeton , Anthropic   ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec1kbUd5yf48B3vK
claude-opus-4-1-20250805, Claude Code    ,0.348,2025-08-05,Anthropic,United States of America,,,0.029, Anthropic , Anthropic   ,2025-11-04,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recIh4lviUhDM9aux
claude-opus-4-1-20250805_unknown,Claude Code,0.348,2025-08-05,Anthropic,United States of America,,,0.028999999999999998,Anthropic,Anthropic,2025-11-04,,,,2026-03-06T20:47:51.000Z,Claude Opus 4.1,recNswzdzYnWC135z
gpt-5-mini-2025-08-07_unknown,spoox-m,0.348,2025-08-07,OpenAI,United States of America,,,0.027000000000000003,TUM,OpenAI,2025-12-24,,,,2026-03-06T20:50:49.000Z,GPT-5-Mini,rec3mqkLQJWWwGiiW
gpt-5-mini-2025-08-07_unknown,spoox-o-m,0.348,2025-08-07,OpenAI,United States of America,,,0.027000000000000003,TUM,OpenAI,2025-12-24,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:53.000Z,GPT-5-Mini,recM8hndoEYq6Jlbf
gpt-5-2025-08-07_medium, Mini-SWE-Agent ,0.339,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.029, Princeton , OpenAI      ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recN22yvosEoDYoao
gpt-5-2025-08-07_unknown,Mini-SWE-Agent,0.33899999999999997,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.028999999999999998,Princeton,OpenAI,2025-11-03,,,,2026-03-06T20:47:52.000Z,GPT-5,recGz2hxdobFUq7NN
glm-4.7,Terminus 2,0.334,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",0.027999999999999997,Terminal Bench,Z-AI,2026-01-28,,,,2026-03-06T20:47:52.000Z,GLM 4.7,rec1VQj4GryD6eaGI
glm-4.7,Crux,0.33299999999999996,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",0.025,Roam,Z-AI,2026-02-08,,,,2026-03-06T20:47:52.000Z,GLM 4.7,recG5DDGxMEXJrTWs
gemini-2.5-pro, Terminus 2     ,0.326,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.03, Stanford  , Google      ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rect0YAzqrcZe6qxi
gemini-2.5-pro,Terminus 2,0.326,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.03,Terminal Bench,Google,2025-10-31,,,,2026-03-06T20:47:52.000Z,Gemini 2.5 Pro,recy9TahZMrNgdLAU
gpt-5-mini-2025-08-07_medium, Codex CLI      ,0.319,2025-08-07,OpenAI,United States of America,,,0.03, OpenAI    , OpenAI      ,2025-11-04,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recNTuh2AD5nZEqvj
gpt-5-mini-2025-08-07_unknown,Codex CLI,0.319,2025-08-07,OpenAI,United States of America,,,0.03,OpenAI,OpenAI,2025-11-04,,,,2026-03-06T20:50:49.000Z,GPT-5-Mini,recTuTGBX7vknCWdE
, Terminus 2     ,0.3,,,,,,0.027, Stanford  , MiniMax     ,2025-11-01,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recbhNOUse5RLyy5B
MiniMax-M2,Terminus 2,0.3,2025-10-27,MiniMax,China,,,0.027000000000000003,Terminal Bench,MiniMax,2025-11-01,,,,2026-03-06T20:47:53.000Z,MiniMax M2,recjRYjr04mfk7kN1
claude-haiku-4-5-20251001, Mini-SWE-Agent ,0.298,2025-10-15,Anthropic,United States of America,,,0.025, Princeton , Anthropic   ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recjYJxgaZXKRW8nE
claude-haiku-4-5-20251001_unknown,Mini-SWE-Agent,0.298,2025-10-15,Anthropic,United States of America,,,0.025,Princeton,Anthropic,2025-11-03,,,,2026-03-06T20:47:53.000Z,Claude Haiku 4.5,rec7okc2EI7syaupc
gpt-5-mini-2025-08-07_medium, OpenHands      ,0.292,2025-08-07,OpenAI,United States of America,,,0.028, OpenHands , OpenAI      ,2025-11-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recqpHHQIxrdzWQ2e
MiniMax-M2.1,Terminus 2,0.292,2025-12-23,MiniMax,China,,,0.028999999999999998,Terminal Bench,MiniMax,2025-12-23,,,,2026-03-06T20:47:53.000Z,MiniMax M2.1,rec4F7W15iJy3hjQh
gpt-5-mini-2025-08-07_unknown,OpenHands,0.292,2025-08-07,OpenAI,United States of America,,,0.027999999999999997,OpenHands,OpenAI,2025-11-02,,,,2026-03-06T20:50:50.000Z,GPT-5-Mini,recZeMXA8WRW0RPTl
claude-haiku-4-5-20251001_unknown,Terminus 2,0.28300000000000003,2025-10-15,Anthropic,United States of America,,,0.028999999999999998,Terminal Bench,Anthropic,2025-10-31,,,,2026-03-06T20:47:54.000Z,Claude Haiku 4.5,recTafF90BHib6N1S
claude-haiku-4-5-20251001, Terminus 2     ,0.283,2025-10-15,Anthropic,United States of America,,,0.029, Stanford  , Anthropic   ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recBFoPPbvHLqQkIF
Kimi-K2-Instruct, Terminus 2     ,0.278,2025-07-12,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,0.025, Stanford  , Moonshot AI ,2025-11-01,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recxOKDiLuVBjbuwV
Kimi-K2-Instruct,Terminus 2,0.278,2025-07-12,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,0.025,Terminal Bench,Moonshot AI,2025-11-01,,,,2026-03-06T20:47:54.000Z,Kimi K2 Instruct,recE77NwwL0EUyZ8C
claude-haiku-4-5-20251001, Claude Code    ,0.275,2025-10-15,Anthropic,United States of America,,,0.028, Anthropic , Anthropic   ,2025-11-04,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,reca6RNNkwrVNSBgQ
claude-haiku-4-5-20251001_unknown,Claude Code,0.275,2025-10-15,Anthropic,United States of America,,,0.027999999999999997,Anthropic,Anthropic,2025-11-04,,,,2026-03-06T20:47:54.000Z,Claude Haiku 4.5,recPD1bwT2Dp0439M
grok-4-0709, OpenHands      ,0.272,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.031, OpenHands , xAI         ,2025-11-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recSY6n1UG1WaG3BJ
grok-4-0709,OpenHands,0.272,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.031000000000000003,OpenHands,xAI,2025-11-02,,,,2026-03-06T20:47:55.000Z,Grok 4,recItJ3vEdOIZoUy3
Qwen3-Coder-480B-A35B-Instruct,Dakou Agent,0.272,2025-07-31,Alibaba,China,1.575e+24,6 FLOP / parameter / token * 35 * 10^9 active parameters * 7.5 * 10^12 tokens = 1.575e+24 FLOP`,0.026000000000000002,iflow,Alibaba,2025-12-28,,,,2026-03-06T20:47:55.000Z,Qwen 3 Coder 480B,recOAMwEh5spGhfvw
Kimi-K2-Instruct, OpenHands      ,0.267,2025-07-12,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,0.027, OpenHands , Moonshot AI ,2025-11-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recZ35cLEBZqtObMV
Kimi-K2-Instruct,OpenHands,0.267,2025-07-12,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,0.027000000000000003,OpenHands,Moonshot AI,2025-11-02,,,,2026-03-06T20:47:56.000Z,Kimi K2 Instruct,recrMHVuQYDBd8BrS
gemini-2.5-pro, Mini-SWE-Agent ,0.261,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.025, Princeton , Google      ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,reczBJ8FZoe7Ihdp1
gemini-2.5-pro,Mini-SWE-Agent,0.261,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.025,Princeton,Google,2025-11-03,,,,2026-03-06T20:47:56.000Z,Gemini 2.5 Pro,recCkXuWxF2axfuj5
grok-code-fast-1, Mini-SWE-Agent ,0.258,2025-08-28,,,,,0.026, Princeton , xAI         ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recJFHV7PmdXOIqt5
grok-code-fast-1,Mini-SWE-Agent,0.258,2025-08-28,,,,,0.026000000000000002,Princeton,xAI,2025-11-03,,,,2026-03-06T20:47:56.000Z,Grok Code Fast 1,recNNY0F5gd3Q1Agm
grok-4-0709, Mini-SWE-Agent ,0.254,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.029, Princeton , xAI         ,2025-11-03,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec2SbVuabwABv4Ag
Qwen3-Coder-480B-A35B-Instruct, OpenHands      ,0.254,2025-07-31,Alibaba,China,1.575e+24,6 FLOP / parameter / token * 35 * 10^9 active parameters * 7.5 * 10^12 tokens = 1.575e+24 FLOP`,0.026, OpenHands , Alibaba     ,2025-11-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec6ayRIToMb9XXDx
grok-4-0709,Mini-SWE-Agent,0.254,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.028999999999999998,Princeton,xAI,2025-11-03,,,,2026-03-06T20:47:56.000Z,Grok 4,recBtnN0lWlUnjstK
Qwen3-Coder-480B-A35B-Instruct,OpenHands,0.254,2025-07-31,Alibaba,China,1.575e+24,6 FLOP / parameter / token * 35 * 10^9 active parameters * 7.5 * 10^12 tokens = 1.575e+24 FLOP`,0.026000000000000002,OpenHands,Alibaba,2025-11-02,,,,2026-03-06T20:47:57.000Z,Qwen 3 Coder 480B,recGuRUrIjf13P4BW
glm-4.6, Terminus 2     ,0.245,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",China,4.42e+24,6 FLOP/parameter/token * 32000000000 active parameters [very likely assumption - everything else is reported to be same as at GLM 4.5] * 23000000000000 tokens = 4.42e24 FLOP,0.024, Stanford  , Z.ai        ,2025-11-01,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recHvj6HO3PYp6H5Z
glm-4.6,Terminus 2,0.245,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",China,4.42e+24,6 FLOP/parameter/token * 32000000000 active parameters [very likely assumption - everything else is reported to be same as at GLM 4.5] * 23000000000000 tokens = 4.42e24 FLOP,0.024,Terminal Bench,Z.ai,2025-11-01,,,,2026-03-06T20:47:57.000Z,GLM 4.6,rec4pCN6lbxLbFW1G
gpt-5-mini-2025-08-07_medium, Terminus 2     ,0.24,2025-08-07,OpenAI,United States of America,,,0.025, Stanford  , OpenAI      ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recmHdcWhKi0CzznQ
gpt-5-mini-2025-08-07_unknown,Terminus 2,0.24,2025-08-07,OpenAI,United States of America,,,0.025,Terminal Bench,OpenAI,2025-10-31,,,,2026-03-06T20:50:50.000Z,GPT-5-Mini,rec1GeHQE2AB6dCLS
Qwen3-Coder-480B-A35B-Instruct, Terminus 2     ,0.239,2025-07-31,Alibaba,China,1.575e+24,6 FLOP / parameter / token * 35 * 10^9 active parameters * 7.5 * 10^12 tokens = 1.575e+24 FLOP`,0.028, Stanford  , Alibaba     ,2025-11-01,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,recjc6bHW1H4vwXQE
Qwen3-Coder-480B-A35B-Instruct,Terminus 2,0.239,2025-07-31,Alibaba,China,1.575e+24,6 FLOP / parameter / token * 35 * 10^9 active parameters * 7.5 * 10^12 tokens = 1.575e+24 FLOP`,0.027999999999999997,Terminal Bench,Alibaba,2025-11-01,,,,2026-03-06T20:47:57.000Z,Qwen 3 Coder 480B,recjHgjD6DEjBnG1l
grok-4-0709, Terminus 2     ,0.231,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.029, Stanford  , xAI         ,2025-10-31,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2025-11-18T19:32:42.000Z,,rec8wkritwB2vOG3E
grok-4-0709,Terminus 2,0.231,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.028999999999999998,Terminal Bench,xAI,2025-10-31,,,,2026-03-06T20:47:58.000Z,Grok 4,recEfZ44svjk4Sx9h
