model,score,source,benchmark_version_protocol,benchmark_release_date,model_release_date,evaluation_date,result_public_date,source_publication_date,plotting_date_current,plotting_date_reason,retrospective,historical_frontier_eligible,eligibility_reason,temporal_interpretation,protocol_evidence
gpt-3.5-turbo-0125,0.1163141993957704,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-01-25,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-1.5-pro-001,0.4074773413897281,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-05-14,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4-1106-preview,0.40020770392749244,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-11-06,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-3.5-turbo-1106,0.15889350453172205,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-11-06,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-1.5-flash-002,0.6186744712990937,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-24,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-2.0,0.1172583081570997,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-07-11,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-5-sonnet-20241022,0.5694864048338368,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-10-22,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-5-sonnet-20240620,0.5168051359516617,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-06-20,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-opus-20240229,0.37481117824773413,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-02-29,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-haiku-20240307,0.1487915407854985,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-03-07,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-3-sonnet-20240229,0.18174093655589124,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-02-29,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-3.1-8B-Instruct,0.22875755287009064,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-07-23,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-3.1-405B-Instruct,0.49773413897280966,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-07-23,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-3.1-70B-Instruct,0.36678625377643503,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-07-23,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4o-2024-05-13,0.5104796072507553,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-05-13,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4o-mini-2024-07-18,0.5263406344410876,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-07-18,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4o-2024-08-06,0.5327605740181269,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-08-06,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o1-mini-2024-09-12_medium,0.8425226586102719,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-12,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Hermes-2-Theta-Llama-3-70B,0.22686933534743203,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-06-20,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Meta-Llama-3-8B-Instruct,0.0612726586102719,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-04-18,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Meta-Llama-3-70B-Instruct,0.225547583081571,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-04-18,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-2-70b-chat-hf,0.032854984894259816,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-07-18,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Yi-1.5-34B-Chat,0.2548149546827795,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-05-13,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Yi-34B-Chat,0.05145392749244713,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-11-22,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-4-0125-preview,0.3541351963746224,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-01-25,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemma-2-9b-it,0.2100641993957704,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-06-24,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemma-2-27b-it,0.2788897280966767,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-06-24,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen2-72b-instruct,0.39067220543806647,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-06-07,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Mistral-7B-Instruct-v0.3,0.03597054380664653,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-05-27,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Mixtral-8x7B-Instruct-v0.1,0.09290030211480363,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-12-11,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
deepseek-llm-67b-chat,0.06391616314199396,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-11-29,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
WizardLM-2-8x22B,0.25736404833836857,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-04-15,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
dbrx-instruct,0.11650302114803625,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-03-27,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gemini-1.0-pro-001,0.11244335347432025,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-12-13,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
ministral-3b-2410,0.14444864048338368,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-10-16,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
open-mistral-7b,0.0368202416918429,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-09-27,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
ministral-8b-2410,0.14935800604229607,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-10-16,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
mistral-large-2407,0.4481684290030212,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-07-24,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
open-mistral-nemo-2407,0.1082892749244713,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-07-18,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
open-mixtral-8x7b,0.09950906344410876,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2023-12-11,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
open-mixtral-8x22b,0.24244712990936557,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-04-17,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
mistral-large-2402,0.24461858006042297,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-02-26,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-3.2-90B-Vision-Instruct,0.39435422960725075,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-24,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-3.1-Tulu-3-70B-DPO,0.426642749244713,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-11-21,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
Llama-3.3-70B-Instruct,0.41597432024169184,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-12-06,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen2.5-72b-instruct,0.631703172205438,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-19,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o1-preview-2024-09-12,0.8164652567975831,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-09-12,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
o1-2024-12-17_medium,0.9441087613293051,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-12-17,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
DeepSeek-V3,0.6485083081570997,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2024-12-26,2025-01-27,Unknown,Unknown,2025-01-27,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
